RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
114,15044355,Costa,581,Spain,Male,45,4,0.0,2,1,1,63524.87,0
115,15298711,Meyer,574,Germany,Female,42,0,0.0,2,1,1,48124.02,0
116,15077654,Ferreira,698,Spain,Female,47,4,0.0,1,1,0,77979.92,0
117,15490456,Thomas,530,Spain,Female,31,3,5471.54,2,0,1,25209.4,0
118,15980646,Fischer,527,France,Male,31,5,8010.19,2,1,1,92066.49,0
119,15366875,Dubois,586,Spain,Female,27,4,46014.47,1,0,1,100224.77,0
120,15873021,Silva,657,Germany,Male,34,8,169131.22,1,0,1,29690.49,0
121,15298057,Souza,732,Spain,Female,50,5,0.0,2,1,1,166265.36,0
122,15092804,Silva,689,Spain,Female,79,5,187162.58,2,1,0,148690.72,1
123,15873777,Santos,729,France,Male,61,4,182236.83,2,1,0,60914.0,1
124,15206821,Silva,585,France,Male,44,3,79298.54,1,1,1,38699.51,0
125,15198058,Oliveira,566,France,Female,42,5,0.0,2,1,0,199662.61,0
126,15472876,Alves,632,France,Male,31,3,0.0,2,1,1,16574.0,0
127,15709106,Thomas,659,Spain,Male,50,6,217507.71,2,1,0,109287.64,0
128,15301724,Dubois,567,Spain,Male,21,2,0.0,2,1,1,150195.55,0
129,15529030,Santos,374,France,Male,34,3,27365.25,1,1,0,188279.14,0
130,15619309,Santos,416,Germany,Male,46,5,193682.24,2,1,0,109965.93,0
131,15533948,Bernard,669,France,Male,35,5,54923.15,2,0,1,120238.04,0
132,15028832,Alves,741,France,Female,24,5,66050.12,1,0,1,179518.93,0
133,15531226,Gomes,542,France,Male,57,5,87349.89,1,1,0,88436.56,1
134,15478858,Robert,643,France,Male,34,3,79814.58,2,0,1,81910.01,0
135,15364454,Dubois,819,Spain,Female,29,7,209507.06,1,0,1,179418.01,0
136,15369798,Silva,727,France,Female,18,0,90688.71,1,0,0,148520.88,0
137,15052525,Alves,640,Germany,Female,35,2,0.0,2,1,0,137167.47,0
138,15872179,Costa,670,Germany,Male,22,1,0.0,1,0,0,42454.04,0
139,15086404,Lima,671,France,Male,58,5,0.0,3,0,0,92043.19,1
140,15111195,Costa,646,Spain,Male,36,3,122762.61,1,1,0,86446.44,0
141,15570468,Martin,504,Spain,Female,55,2,65805.09,1,1,0,183857.32,1
142,15595230,Meyer,636,France,Male,29,4,218244.08,1,1,1,20528.99,0
143,15049379,Costa,624,France,Male,41,5,92963.37,1,0,0,197073.07,0
144,15574686,Thomas,673,France,Female,45,5,53240.44,1,1,0,183712.19,1
145,15815304,Alves,692,France,Male,44,4,126527.45,2,1,1,131470.52,0
146,15605049,Schmidt,603,France,Male,41,9,138979.6,1,1,1,91708.81,0
147,15460739,Schmidt,716,Germany,Male,53,6,63617.73,2,0,1,156695.73,0
148,15777217,Silva,713,Germany,Male,37,2,75420.84,2,1,0,168780.18,0
149,15530043,Oliveira,717,France,Male,49,6,89810.0,2,1,1,44179.36,0
150,15396624,Alves,558,France,Female,59,5,0.0,2,0,1,176571.42,0
151,15039868,Ferreira,815,Spain,Male,25,1,232126.46,2,1,0,39209.83,0
152,15043503,Oliveira,539,France,Female,19,0,127249.3,1,1,1,87943.25,0
153,15424172,Thomas,795,France,Female,36,6,60253.56,1,1,1,49935.38,0
154,15583552,Thomas,702,France,Female,45,4,0.0,2,0,0,113355.91,0
155,15409139,Costa,764,Spain,Male,38,5,204044.38,2,0,1,187047.93,0
156,15916435,Souza,629,France,Female,40,3,105297.73,1,1,0,76486.13,1
157,15535624,Costa,498,Germany,Female,32,8,238890.7,1,1,0,165722.11,1
158,15876005,Ferreira,566,Spain,Female,44,5,0.0,2,1,1,108191.32,0
159,15490003,Pereira,649,France,Male,36,8,0.0,1,1,0,165004.54,0
160,15332067,Dubois,687,Germany,Male,31,1,32368.0,4,1,0,181233.14,1
161,15363082,Lima,730,France,Male,48,5,0.0,1,0,0,93412.71,0
162,15813415,Alves,452,Germany,Male,71,5,73333.35,1,1,0,86042.53,1
163,15388401,Santos,656,Germany,Male,44,2,75806.05,1,0,0,51583.09,1
164,15682449,Alves,781,Germany,Female,54,3,193020.38,2,1,0,179421.6,1
165,15947901,Silva,850,France,Male,38,2,28947.7,2,1,0,151890.7,0
166,15366845,Weber,850,Spain,Female,37,9,238362.11,2,1,0,98539.2,0
167,15179219,Souza,842,France,Female,35,4,82258.87,2,1,1,85207.61,0
168,15973179,Oliveira,639,France,Female,58,3,0.0,1,0,0,30858.09,1
169,15399691,Dubois,689,France,Male,34,5,201913.98,1,0,1,49276.32,0
170,15819947,Alves,759,Germany,Male,59,5,0.0,2,1,0,64918.38,0
171,15079380,Lima,751,Germany,Male,69,3,0.0,1,1,0,178288.68,1
172,15903803,Dubois,590,France,Female,23,9,0.0,1,0,1,137357.5,0
173,15896146,Robert,625,Germany,Male,21,6,229316.48,1,1,1,46396.18,0
174,15466851,Alves,567,France,Female,28,3,0.0,1,1,0,77861.84,0
175,15314671,Oliveira,705,Germany,Female,33,5,28040.82,1,1,0,46934.93,1
176,15685223,Costa,732,France,Female,27,5,55335.82,2,1,1,66515.86,0
177,15509630,Müller,640,Germany,Male,54,2,0.0,2,0,1,40956.82,0
178,15102873,Oliveira,686,France,Female,22,7,65509.71,3,1,1,166093.76,1
179,15372175,Gomes,769,Spain,Male,39,6,10855.58,2,1,1,22528.69,0
180,15520919,Costa,705,France,Male,34,6,80562.93,2,0,1,95731.81,0
181,15364106,Fischer,461,France,Male,60,2,0.0,1,1,0,65458.37,1
182,15428612,Lima,658,France,Male,44,2,0.0,2,0,0,87835.98,0
183,15268911,Thomas,622,Spain,Female,53,2,92652.94,2,1,1,180028.6,0
184,15622880,Ferreira,611,Spain,Female,79,1,67686.42,1,1,0,97867.49,1
185,15378177,Robert,613,France,Male,48,8,0.0,1,1,1,93622.8,0
186,15449657,Gomes,419,Germany,Male,33,6,0.0,1,0,1,90694.08,0
187,15294030,Schmidt,773,Spain,Male,34,1,16549.56,1,0,1,38860.69,0
188,15448544,Oliveira,683,Germany,Male,35,5,72607.41,1,0,1,116845.45,0
189,15215971,Costa,813,Germany,Female,46,2,95783.44,2,0,1,64571.9,0
190,15347627,Alves,497,France,Female,29,0,0.0,2,0,1,126964.3,0
191,15760538,Santos,586,France,Male,30,3,0.0,2,0,0,136451.25,0
192,15816358,Pereira,586,Spain,Female,48,4,46111.73,2,0,0,165051.66,0
193,15516499,Dubois,657,Spain,Female,44,0,31005.19,1,1,1,144406.34,0
194,15033764,Müller,605,Germany,Male,44,3,0.0,2,0,1,127646.45,0
195,15293410,Fischer,699,France,Female,34,5,54870.71,2,0,1,156585.77,0
196,15938592,Thomas,850,France,Male,53,2,153142.55,1,1,0,136229.45,1
197,15305408,Thomas,646,Germany,Male,41,4,55601.16,2,0,0,76285.46,0
198,15579048,Schmidt,723,Spain,Male,25,7,0.0,1,0,0,32941.71,0
199,15223979,Thomas,600,Spain,Female,58,0,0.0,2,1,1,153554.08,0
200,15119775,Gomes,769,Spain,Female,71,6,61683.0,1,1,0,52503.83,1
201,15787861,Alves,715,Germany,Male,25,3,0.0,2,0,1,173996.17,0
202,15064026,Bernard,703,France,Female,39,4,24876.02,1,0,0,143241.62,1
203,15193716,Souza,644,France,Female,48,2,59443.63,2,1,1,96047.21,0
204,15419605,Martin,752,Spain,Female,25,5,77051.27,1,0,1,193045.97,0
205,15850341,Müller,715,Germany,Female,51,6,0.0,2,1,1,153078.84,0
206,15460552,Santos,791,France,Female,33,2,18949.83,1,0,0,102347.84,1
207,15557609,Weber,553,France,Male,54,3,35806.68,1,1,1,68082.53,0
208,15613321,Martin,671,Germany,Female,50,5,0.0,2,1,1,61492.54,0
209,15284119,Dubois,656,France,Female,43,4,69125.11,2,1,0,60686.83,0
210,15504278,Costa,618,France,Male,40,3,108836.79,2,0,0,98403.47,0
211,15448247,Weber,675,Germany,Male,32,4,115948.98,2,1,1,47573.38,0
212,15547452,Oliveira,723,Germany,Female,22,3,0.0,2,1,1,146187.24,0
213,15680741,Dubois,713,Germany,Female,32,3,98518.42,2,1,1,168736.77,0
214,15743732,Gomes,689,France,Male,40,5,110089.74,1,1,1,26733.46,0
215,15375348,Fischer,565,Germany,Male,59,4,172014.06,1,0,1,151834.59,1
216,15791596,Fischer,687,France,Male,33,5,98929.4,1,1,1,107043.61,0
217,15581409,Santos,524,France,Male,41,6,0.0,1,0,1,26960.72,0
218,15292916,Silva,676,Germany,Female,33,8,0.0,1,0,0,68755.21,1
219,15199542,Santos,601,Germany,Male,51,2,0.0,2,1,0,178296.5,0
220,15142417,Thomas,763,Spain,Female,79,5,209717.71,2,0,0,146623.07,1
221,15010226,Souza,642,Germany,Male,33,5,79918.88,1,1,0,86732.67,0
222,15665679,Martin,554,Germany,Male,58,6,0.0,1,0,1,145779.18,0
223,15009378,Souza,719,France,Male,42,7,244821.91,1,1,1,60758.11,0
224,15484273,Bernard,648,France,Female,51,6,196097.6,3,1,1,46391.82,1
225,15675886,Costa,631,France,Female,41,5,232645.33,2,1,0,184703.37,0
226,15896654,Costa,619,France,Male,31,2,118821.63,1,1,0,73535.78,0
227,15750462,Martin,592,Spain,Male,31,3,0.0,2,1,0,51510.46,0
228,15824859,Souza,727,France,Male,22,5,156625.35,1,1,0,125231.2,0
229,15684467,Oliveira,628,Spain,Female,48,2,0.0,1,1,0,177626.06,0
230,15076014,Pereira,709,Germany,Female,73,2,133069.91,2,1,1,154621.19,1
231,15360030,Schmidt,697,Spain,Male,43,7,246964.39,2,0,0,94690.49,0
232,15014000,Lima,750,Germany,Female,38,8,76556.27,1,1,1,131427.76,0
233,15627977,Silva,658,Germany,Male,57,0,54394.01,1,1,0,49595.68,1
234,15250754,Schmidt,475,France,Male,53,6,0.0,1,0,1,107764.04,0
235,15081678,Ferreira,725,France,Male,34,8,0.0,2,0,1,169585.77,0
236,15790036,Silva,628,Germany,Male,21,4,62157.81,2,1,1,187502.52,0
237,15562355,Santos,621,France,Male,19,4,68873.38,2,1,1,149454.3,0
238,15126082,Costa,850,France,Female,54,7,0.0,2,1,1,85379.56,0
239,15536412,Meyer,758,Germany,Male,53,0,184419.26,1,1,0,61919.13,1
240,15053728,Pereira,685,France,Female,37,6,0.0,2,0,1,72079.17,0
241,15150629,Müller,623,Spain,Male,34,3,10777.23,1,0,1,152918.59,0
242,15052065,Costa,666,Spain,Female,53,5,0.0,2,1,1,48074.97,0
243,15075867,Martin,427,Spain,Male,71,3,178126.94,1,0,0,87374.4,1
244,15540380,Dubois,754,France,Female,60,4,0.0,2,1,1,193226.9,0
245,15254127,Alves,564,France,Female,45,6,19156.96,1,0,1,184398.47,0
246,15662396,Gomes,514,Spain,Male,31,2,0.0,1,0,0,184814.43,0
247,15989949,Alves,546,France,Female,47,5,245854.48,2,0,1,21788.98,0
248,15137205,Ferreira,601,Spain,Male,32,7,56828.62,2,0,0,187626.09,0
249,15283239,Thomas,690,Spain,Male,54,7,110185.51,2,0,0,46666.97,0
250,15357319,Martin,651,Spain,Female,32,7,0.0,1,1,1,153579.76,0
251,15752455,Silva,560,France,Male,51,4,89043.46,2,0,0,47659.15,0
252,15190396,Müller,582,France,Female,35,6,249119.21,1,1,0,84837.1,1
253,15163871,Souza,528,Spain,Female,58,4,0.0,1,1,0,89542.32,1
254,15326712,Weber,726,France,Female,37,4,162855.44,1,1,1,106000.74,0
255,15320071,Costa,731,France,Male,40,3,111425.86,2,0,0,179790.04,0
256,15940781,Souza,795,Germany,Female,42,3,27108.23,1,1,1,131325.97,0
257,15818791,Dubois,640,Spain,Male,24,0,0.0,2,1,1,48512.0,0
258,15012087,Schmidt,665,Germany,Male,66,4,0.0,2,0,0,92576.64,1
259,15703024,Robert,693,Germany,Male,47,3,179743.67,1,1,1,38838.14,0
260,15839666,Souza,724,France,Female,41,2,61892.63,4,0,0,75360.62,1
261,15860958,Fischer,473,Germany,Male,53,2,0.0,3,1,0,91649.31,1
262,15332067,Dubois,599,Spain,Male,55,3,123856.76,2,1,0,70508.8,0
263,15933804,Schmidt,614,France,Male,45,7,0.0,1,1,1,157022.02,0
264,15731730,Ferreira,494,Germany,Male,52,4,63798.07,1,0,1,14360.2,1
265,15953174,Schmidt,761,Spain,Male,27,4,0.0,1,1,1,187459.67,0
266,15178174,Oliveira,488,Germany,Female,23,1,73949.9,1,0,1,110086.69,0
267,15186843,Souza,509,Germany,Male,44,4,63416.96,2,1,1,162711.49,0
268,15217979,Santos,600,Germany,Female,37,5,5709.6,2,1,0,47053.14,0
269,15361920,Silva,623,France,Female,31,2,0.0,2,1,1,77649.11,0
270,15397829,Meyer,788,France,Female,39,8,60549.29,1,1,0,193961.72,1
271,15005055,Oliveira,850,Spain,Female,39,7,215137.58,1,1,1,113150.45,0
272,15351201,Weber,668,Spain,Female,51,9,240676.7,3,1,0,79235.09,1
273,15602894,Weber,580,Spain,Male,50,3,54137.85,2,1,1,199727.9,0
274,15764510,Fischer,531,Spain,Female,66,6,0.0,2,1,0,141442.8,1
275,15984420,Oliveira,712,Germany,Male,52,3,51255.87,1,1,0,163900.07,1
276,15057358,Costa,530,Germany,Male,34,6,0.0,2,1,0,48132.55,0
277,15345257,Costa,621,Spain,Male,36,8,197492.35,2,0,1,14158.86,0
278,15508168,Meyer,756,Germany,Male,40,2,0.0,1,1,1,183924.34,0
279,15555754,Ferreira,706,Germany,Female,51,2,19173.02,2,0,1,68804.94,0
280,15845797,Silva,579,Spain,Female,19,1,0.0,2,1,0,155605.61,0
281,15170049,Robert,722,Spain,Female,32,6,0.0,1,1,1,92560.89,0
282,15052041,Martin,581,France,Female,56,5,13907.77,2,1,0,177899.65,0
283,15726894,Thomas,781,France,Male,46,4,0.0,2,1,0,60404.54,0
284,15020924,Costa,577,France,Male,38,6,0.0,2,0,0,111391.97,0
285,15176700,Müller,768,Germany,Female,35,6,60500.49,2,1,0,80451.76,0
286,15272932,Weber,568,France,Female,59,8,214652.38,1,0,1,140726.24,1
287,15170266,Fischer,735,France,Female,54,2,59173.25,1,0,0,112728.32,1
288,15197230,Fischer,710,Germany,Female,38,4,244519.7,2,1,1,150274.76,0
289,15662300,Alves,580,France,Male,37,7,0.0,1,0,1,93951.46,0
290,15731967,Dubois,836,Germany,Female,57,4,0.0,4,0,1,158461.64,1
291,15781665,Pereira,512,France,Male,60,4,151451.0,2,1,1,107278.84,0
292,15752241,Dubois,617,France,Female,55,8,0.0,1,0,0,33312.96,1
293,15151947,Lima,550,Spain,Female,43,6,81865.67,1,0,1,149461.34,0
294,15482143,Weber,679,France,Male,51,4,14763.7,1,1,1,92575.38,0
295,15602841,Schmidt,680,France,Male,32,3,66976.07,2,1,0,159273.35,0
296,15119342,Pereira,546,Germany,Male,24,7,141388.16,1,0,1,182307.91,0
297,15562185,Oliveira,644,Spain,Male,44,0,150962.24,1,1,1,182209.87,0
298,15328685,Martin,797,France,Female,41,3,171797.13,2,1,1,159089.76,0
299,15542219,Ferreira,702,Germany,Female,59,8,0.0,1,1,0,33769.33,1
300,15891703,Souza,812,France,Male,26,4,41864.84,2,1,1,192955.66,0
301,15811558,Oliveira,689,France,Male,54,5,0.0,1,1,0,110311.29,1
302,15853824,Dubois,501,Germany,Male,35,4,93827.34,2,1,1,183799.49,0
303,15945543,Schmidt,559,Germany,Female,43,3,0.0,1,1,1,140801.56,0
304,15461046,Santos,652,Germany,Male,19,5,118879.71,1,1,1,51304.61,0
305,15543664,Fischer,553,Germany,Female,44,6,79054.31,2,1,0,130233.9,0
306,15725156,Gomes,661,Spain,Male,49,3,78374.54,1,1,0,81157.5,0
307,15111948,Thomas,755,Germany,Male,36,5,146816.1,1,1,1,14812.17,0
308,15896907,Bernard,782,France,Female,35,1,249858.77,2,1,1,170980.89,0
309,15234766,Ferreira,644,Spain,Male,47,4,94257.7,1,1,1,196354.23,0
310,15907421,Müller,575,France,Female,51,6,228323.52,1,1,0,110614.0,1
311,15699394,Fischer,740,France,Male,35,5,0.0,1,0,1,71473.72,0
312,15463843,Ferreira,713,France,Female,35,7,0.0,1,1,0,51818.07,0
313,15938814,Bernard,646,France,Male,33,3,68136.75,2,1,0,59459.68,0
314,15739168,Souza,596,Spain,Female,66,4,0.0,1,0,1,169390.1,1
315,15065970,Weber,463,Spain,Male,32,1,73335.1,1,0,1,40913.71,0
316,15241363,Dubois,681,Germany,Male,29,5,52989.33,1,1,1,186884.32,0
317,15387207,Schmidt,689,France,Male,53,4,69666.74,1,1,0,91837.61,1
318,15857401,Schmidt,850,France,Female,49,4,0.0,1,1,1,135258.81,0
319,15340894,Silva,612,France,Male,28,2,58603.39,1,1,1,91328.45,0
320,15750421,Pereira,682,France,Female,71,9,0.0,1,1,0,199458.41,1
321,15332301,Dubois,679,Germany,Male,41,6,216807.02,1,1,1,81778.49,0
322,15955958,Lima,748,Germany,Female,50,3,249159.39,2,1,0,82568.53,1
323,15025301,Gomes,735,Germany,Male,32,5,58083.96,2,1,0,175777.09,0
324,15091495,Martin,797,France,Female,59,5,54959.06,2,1,1,33449.97,0
325,15176294,Pereira,699,Spain,Female,38,8,0.0,1,1,0,45064.29,0
326,15869086,Müller,704,Germany,Female,34,6,35060.99,1,1,1,195461.23,0
327,15168940,Bernard,768,Germany,Female,24,3,0.0,1,1,1,29267.98,0
328,15289071,Robert,674,Germany,Female,49,8,51032.56,1,0,0,19800.21,1
329,15692861,Souza,651,France,Male,46,3,66325.64,2,1,1,154263.76,0
330,15912826,Müller,799,France,Male,42,5,0.0,4,1,0,99379.15,1
331,15633737,Weber,764,France,Male,36,5,168121.0,2,0,1,111356.51,0
332,15075758,Schmidt,605,Spain,Male,49,3,114987.56,2,1,0,108743.41,0
333,15373676,Gomes,635,France,Female,51,8,0.0,1,1,0,177326.85,1
334,15532148,Gomes,659,France,Male,40,2,0.0,1,1,0,83009.08,0
335,15757890,Fischer,728,France,Female,58,4,107331.05,1,1,0,162936.77,1
336,15218851,Müller,595,France,Male,37,2,44689.76,2,1,0,119559.31,0
337,15172771,Ferreira,474,Spain,Female,46,7,0.0,2,1,1,39954.17,0
338,15573746,Robert,731,Germany,Female,19,2,130460.17,2,1,1,147417.44,0
339,15455428,Bernard,626,France,Female,48,0,93044.2,2,1,0,29425.52,0
340,15884924,Silva,531,France,Male,71,0,0.0,2,1,0,58606.15,0
341,15531320,Meyer,503,France,Female,65,4,39616.3,1,1,0,116329.35,1
342,15996293,Schmidt,777,France,Male,36,4,210879.49,1,0,0,95959.92,0
